"lat","lon","time","avg","max","min","n"
25.3,-79.8,2015-04-11,NA,-Inf,Inf,24
25.3,-79.8,2015-04-12,NA,-Inf,Inf,24
25.3,-79.8,2015-04-13,NA,-Inf,Inf,24
25.3,-79.8,2015-04-14,NA,-Inf,Inf,24
25.3,-79.8,2015-04-15,NA,-Inf,Inf,24
25.3,-79.8,2015-04-16,NA,-Inf,Inf,24
25.3,-79.8,2015-04-17,NA,-Inf,Inf,24
25.3,-79.8,2015-04-18,NA,-Inf,Inf,24
25.3,-79.8,2015-04-19,NA,-Inf,Inf,24
25.3,-79.8,2015-04-20,NA,-Inf,Inf,24
25.3,-79.8,2015-04-21,NA,-Inf,Inf,24
25.3,-79.8,2015-04-22,NA,-Inf,Inf,24
25.3,-79.8,2015-04-23,NA,-Inf,Inf,24
25.3,-79.8,2015-04-24,NA,-Inf,Inf,24
25.3,-79.8,2015-04-25,NA,-Inf,Inf,24
25.3,-79.8,2015-04-26,NA,-Inf,Inf,24
25.3,-79.8,2015-04-27,NA,-Inf,Inf,24
25.3,-79.8,2015-04-28,NA,-Inf,Inf,24
25.3,-79.8,2015-04-29,NA,-Inf,Inf,24
25.3,-79.8,2015-04-30,NA,-Inf,Inf,24
25.3,-79.7,2015-04-01,NA,-Inf,Inf,24
25.3,-79.7,2015-04-02,NA,-Inf,Inf,24
25.3,-79.7,2015-04-03,NA,-Inf,Inf,24
25.3,-79.7,2015-04-04,NA,-Inf,Inf,24
25.3,-79.7,2015-04-05,NA,-Inf,Inf,24
25.3,-79.7,2015-04-06,NA,-Inf,Inf,24
25.3,-79.7,2015-04-07,NA,-Inf,Inf,24
25.3,-79.7,2015-04-08,NA,-Inf,Inf,24
25.3,-79.7,2015-04-09,NA,-Inf,Inf,24
25.3,-79.7,2015-04-10,NA,-Inf,Inf,24
25.3,-79.7,2015-04-11,NA,-Inf,Inf,24
25.3,-79.7,2015-04-12,NA,-Inf,Inf,24
25.3,-79.7,2015-04-13,NA,-Inf,Inf,24
25.3,-79.7,2015-04-14,NA,-Inf,Inf,24
25.3,-79.7,2015-04-15,NA,-Inf,Inf,24
25.3,-79.7,2015-04-16,NA,-Inf,Inf,24
25.3,-79.7,2015-04-17,NA,-Inf,Inf,24
25.3,-79.7,2015-04-18,NA,-Inf,Inf,24
25.3,-79.7,2015-04-19,NA,-Inf,Inf,24
25.3,-79.7,2015-04-20,NA,-Inf,Inf,24
25.3,-79.7,2015-04-21,NA,-Inf,Inf,24
25.3,-79.7,2015-04-22,NA,-Inf,Inf,24
25.3,-79.7,2015-04-23,NA,-Inf,Inf,24
25.3,-79.7,2015-04-24,NA,-Inf,Inf,24
25.3,-79.7,2015-04-25,NA,-Inf,Inf,24
25.3,-79.7,2015-04-26,NA,-Inf,Inf,24
25.3,-79.7,2015-04-27,NA,-Inf,Inf,24
25.3,-79.7,2015-04-28,NA,-Inf,Inf,24
25.3,-79.7,2015-04-29,NA,-Inf,Inf,24
25.3,-79.7,2015-04-30,NA,-Inf,Inf,24
25.3,-79.6,2015-04-01,NA,-Inf,Inf,24
25.3,-79.6,2015-04-02,NA,-Inf,Inf,24
25.3,-79.6,2015-04-03,NA,-Inf,Inf,24
25.3,-79.6,2015-04-04,NA,-Inf,Inf,24
25.3,-79.6,2015-04-05,NA,-Inf,Inf,24
25.3,-79.6,2015-04-06,NA,-Inf,Inf,24
25.3,-79.6,2015-04-07,NA,-Inf,Inf,24
25.3,-79.6,2015-04-08,NA,-Inf,Inf,24
25.3,-79.6,2015-04-09,NA,-Inf,Inf,24
25.3,-79.6,2015-04-10,NA,-Inf,Inf,24
25.3,-79.6,2015-04-11,NA,-Inf,Inf,24
25.3,-79.6,2015-04-12,NA,-Inf,Inf,24
25.3,-79.6,2015-04-13,NA,-Inf,Inf,24
25.3,-79.6,2015-04-14,NA,-Inf,Inf,24
25.3,-79.6,2015-04-15,NA,-Inf,Inf,24
25.3,-79.6,2015-04-16,NA,-Inf,Inf,24
25.3,-79.6,2015-04-17,NA,-Inf,Inf,24
25.3,-79.6,2015-04-18,NA,-Inf,Inf,24
25.3,-79.6,2015-04-19,NA,-Inf,Inf,24
25.3,-79.6,2015-04-20,NA,-Inf,Inf,24
25.3,-79.6,2015-04-21,NA,-Inf,Inf,24
25.3,-79.6,2015-04-22,NA,-Inf,Inf,24
25.3,-79.6,2015-04-23,NA,-Inf,Inf,24
25.3,-79.6,2015-04-24,NA,-Inf,Inf,24
25.3,-79.6,2015-04-25,NA,-Inf,Inf,24
25.3,-79.6,2015-04-26,NA,-Inf,Inf,24
25.3,-79.6,2015-04-27,NA,-Inf,Inf,24
25.3,-79.6,2015-04-28,NA,-Inf,Inf,24
25.3,-79.6,2015-04-29,NA,-Inf,Inf,24
25.3,-79.6,2015-04-30,NA,-Inf,Inf,24
25.3,-79.5,2015-04-01,NA,-Inf,Inf,24
25.3,-79.5,2015-04-02,NA,-Inf,Inf,24
25.3,-79.5,2015-04-03,NA,-Inf,Inf,24
25.3,-79.5,2015-04-04,NA,-Inf,Inf,24
25.3,-79.5,2015-04-05,NA,-Inf,Inf,24
25.3,-79.5,2015-04-06,NA,-Inf,Inf,24
25.3,-79.5,2015-04-07,NA,-Inf,Inf,24
25.3,-79.5,2015-04-08,NA,-Inf,Inf,24
25.3,-79.5,2015-04-09,NA,-Inf,Inf,24
25.3,-79.5,2015-04-10,NA,-Inf,Inf,24
25.3,-79.5,2015-04-11,NA,-Inf,Inf,24
25.3,-79.5,2015-04-12,NA,-Inf,Inf,24
25.3,-79.5,2015-04-13,NA,-Inf,Inf,24
25.3,-79.5,2015-04-14,NA,-Inf,Inf,24
25.3,-79.5,2015-04-15,NA,-Inf,Inf,24
25.3,-79.5,2015-04-16,NA,-Inf,Inf,24
25.3,-79.5,2015-04-17,NA,-Inf,Inf,24
25.3,-79.5,2015-04-18,NA,-Inf,Inf,24
25.3,-79.5,2015-04-19,NA,-Inf,Inf,24
25.3,-79.5,2015-04-20,NA,-Inf,Inf,24
25.3,-79.5,2015-04-21,NA,-Inf,Inf,24
25.3,-79.5,2015-04-22,NA,-Inf,Inf,24
25.3,-79.5,2015-04-23,NA,-Inf,Inf,24
25.3,-79.5,2015-04-24,NA,-Inf,Inf,24
25.3,-79.5,2015-04-25,NA,-Inf,Inf,24
25.3,-79.5,2015-04-26,NA,-Inf,Inf,24
25.3,-79.5,2015-04-27,NA,-Inf,Inf,24
25.3,-79.5,2015-04-28,NA,-Inf,Inf,24
25.3,-79.5,2015-04-29,NA,-Inf,Inf,24
25.3,-79.5,2015-04-30,NA,-Inf,Inf,24
25.3,-79.4,2015-04-01,NA,-Inf,Inf,24
25.3,-79.4,2015-04-02,NA,-Inf,Inf,24
25.3,-79.4,2015-04-03,NA,-Inf,Inf,24
25.3,-79.4,2015-04-04,NA,-Inf,Inf,24
25.3,-79.4,2015-04-05,NA,-Inf,Inf,24
25.3,-79.4,2015-04-06,NA,-Inf,Inf,24
25.3,-79.4,2015-04-07,NA,-Inf,Inf,24
25.3,-79.4,2015-04-08,NA,-Inf,Inf,24
25.3,-79.4,2015-04-09,NA,-Inf,Inf,24
25.3,-79.4,2015-04-10,NA,-Inf,Inf,24
25.3,-79.4,2015-04-11,NA,-Inf,Inf,24
25.3,-79.4,2015-04-12,NA,-Inf,Inf,24
25.3,-79.4,2015-04-13,NA,-Inf,Inf,24
25.3,-79.4,2015-04-14,NA,-Inf,Inf,24
25.3,-79.4,2015-04-15,NA,-Inf,Inf,24
25.3,-79.4,2015-04-16,NA,-Inf,Inf,24
25.3,-79.4,2015-04-17,NA,-Inf,Inf,24
25.3,-79.4,2015-04-18,NA,-Inf,Inf,24
25.3,-79.4,2015-04-19,NA,-Inf,Inf,24
25.3,-79.4,2015-04-20,NA,-Inf,Inf,24
25.3,-79.4,2015-04-21,NA,-Inf,Inf,24
25.3,-79.4,2015-04-22,NA,-Inf,Inf,24
25.3,-79.4,2015-04-23,NA,-Inf,Inf,24
25.3,-79.4,2015-04-24,NA,-Inf,Inf,24
25.3,-79.4,2015-04-25,NA,-Inf,Inf,24
25.3,-79.4,2015-04-26,NA,-Inf,Inf,24
25.3,-79.4,2015-04-27,NA,-Inf,Inf,24
25.3,-79.4,2015-04-28,NA,-Inf,Inf,24
25.3,-79.4,2015-04-29,NA,-Inf,Inf,24
25.3,-79.4,2015-04-30,NA,-Inf,Inf,24
25.3,-79.3,2015-04-01,NA,-Inf,Inf,24
25.3,-79.3,2015-04-02,NA,-Inf,Inf,24
25.3,-79.3,2015-04-03,NA,-Inf,Inf,24
25.3,-79.3,2015-04-04,NA,-Inf,Inf,24
25.3,-79.3,2015-04-05,NA,-Inf,Inf,24
25.3,-79.3,2015-04-06,NA,-Inf,Inf,24
25.3,-79.3,2015-04-07,NA,-Inf,Inf,24
25.3,-79.3,2015-04-08,NA,-Inf,Inf,24
25.3,-79.3,2015-04-09,NA,-Inf,Inf,24
25.3,-79.3,2015-04-10,NA,-Inf,Inf,24
25.3,-79.3,2015-04-11,NA,-Inf,Inf,24
25.3,-79.3,2015-04-12,NA,-Inf,Inf,24
25.3,-79.3,2015-04-13,NA,-Inf,Inf,24
25.3,-79.3,2015-04-14,NA,-Inf,Inf,24
25.3,-79.3,2015-04-15,NA,-Inf,Inf,24
25.3,-79.3,2015-04-16,NA,-Inf,Inf,24
25.3,-79.3,2015-04-17,NA,-Inf,Inf,24
25.3,-79.3,2015-04-18,NA,-Inf,Inf,24
25.3,-79.3,2015-04-19,NA,-Inf,Inf,24
25.3,-79.3,2015-04-20,NA,-Inf,Inf,24
25.3,-79.3,2015-04-21,NA,-Inf,Inf,24
25.3,-79.3,2015-04-22,NA,-Inf,Inf,24
25.3,-79.3,2015-04-23,NA,-Inf,Inf,24
25.3,-79.3,2015-04-24,NA,-Inf,Inf,24
25.3,-79.3,2015-04-25,NA,-Inf,Inf,24
25.3,-79.3,2015-04-26,NA,-Inf,Inf,24
25.3,-79.3,2015-04-27,NA,-Inf,Inf,24
25.3,-79.3,2015-04-28,NA,-Inf,Inf,24
25.3,-79.3,2015-04-29,NA,-Inf,Inf,24
25.3,-79.3,2015-04-30,NA,-Inf,Inf,24
25.3,-79.2,2015-04-01,NA,-Inf,Inf,24
25.3,-79.2,2015-04-02,NA,-Inf,Inf,24
25.3,-79.2,2015-04-03,NA,-Inf,Inf,24
25.3,-79.2,2015-04-04,NA,-Inf,Inf,24
25.3,-79.2,2015-04-05,NA,-Inf,Inf,24
25.3,-79.2,2015-04-06,NA,-Inf,Inf,24
25.3,-79.2,2015-04-07,NA,-Inf,Inf,24
25.3,-79.2,2015-04-08,NA,-Inf,Inf,24
25.3,-79.2,2015-04-09,NA,-Inf,Inf,24
25.3,-79.2,2015-04-10,NA,-Inf,Inf,24
25.3,-79.2,2015-04-11,NA,-Inf,Inf,24
25.3,-79.2,2015-04-12,NA,-Inf,Inf,24
25.3,-79.2,2015-04-13,NA,-Inf,Inf,24
25.3,-79.2,2015-04-14,NA,-Inf,Inf,24
25.3,-79.2,2015-04-15,NA,-Inf,Inf,24
25.3,-79.2,2015-04-16,NA,-Inf,Inf,24
25.3,-79.2,2015-04-17,NA,-Inf,Inf,24
25.3,-79.2,2015-04-18,NA,-Inf,Inf,24
25.3,-79.2,2015-04-19,NA,-Inf,Inf,24
25.3,-79.2,2015-04-20,NA,-Inf,Inf,24
25.3,-79.2,2015-04-21,NA,-Inf,Inf,24
25.3,-79.2,2015-04-22,NA,-Inf,Inf,24
25.3,-79.2,2015-04-23,NA,-Inf,Inf,24
25.3,-79.2,2015-04-24,NA,-Inf,Inf,24
25.3,-79.2,2015-04-25,NA,-Inf,Inf,24
25.3,-79.2,2015-04-26,NA,-Inf,Inf,24
25.3,-79.2,2015-04-27,NA,-Inf,Inf,24
25.3,-79.2,2015-04-28,NA,-Inf,Inf,24
25.3,-79.2,2015-04-29,NA,-Inf,Inf,24
25.3,-79.2,2015-04-30,NA,-Inf,Inf,24
25.3,-79.1,2015-04-01,NA,-Inf,Inf,24
25.3,-79.1,2015-04-02,NA,-Inf,Inf,24
25.3,-79.1,2015-04-03,NA,-Inf,Inf,24
25.3,-79.1,2015-04-04,NA,-Inf,Inf,24
25.3,-79.1,2015-04-05,NA,-Inf,Inf,24
25.3,-79.1,2015-04-06,NA,-Inf,Inf,24
25.3,-79.1,2015-04-07,NA,-Inf,Inf,24
25.3,-79.1,2015-04-08,NA,-Inf,Inf,24
25.3,-79.1,2015-04-09,NA,-Inf,Inf,24
25.3,-79.1,2015-04-10,NA,-Inf,Inf,24
25.3,-79.1,2015-04-11,NA,-Inf,Inf,24
25.3,-79.1,2015-04-12,NA,-Inf,Inf,24
25.3,-79.1,2015-04-13,NA,-Inf,Inf,24
25.3,-79.1,2015-04-14,NA,-Inf,Inf,24
25.3,-79.1,2015-04-15,NA,-Inf,Inf,24
25.3,-79.1,2015-04-16,NA,-Inf,Inf,24
25.3,-79.1,2015-04-17,NA,-Inf,Inf,24
25.3,-79.1,2015-04-18,NA,-Inf,Inf,24
25.3,-79.1,2015-04-19,NA,-Inf,Inf,24
25.3,-79.1,2015-04-20,NA,-Inf,Inf,24
25.3,-79.1,2015-04-21,NA,-Inf,Inf,24
25.3,-79.1,2015-04-22,NA,-Inf,Inf,24
25.3,-79.1,2015-04-23,NA,-Inf,Inf,24
25.3,-79.1,2015-04-24,NA,-Inf,Inf,24
25.3,-79.1,2015-04-25,NA,-Inf,Inf,24
25.3,-79.1,2015-04-26,NA,-Inf,Inf,24
25.3,-79.1,2015-04-27,NA,-Inf,Inf,24
25.3,-79.1,2015-04-28,NA,-Inf,Inf,24
25.3,-79.1,2015-04-29,NA,-Inf,Inf,24
25.3,-79.1,2015-04-30,NA,-Inf,Inf,24
25.3,-79,2015-04-01,NA,-Inf,Inf,24
25.3,-79,2015-04-02,NA,-Inf,Inf,24
25.3,-79,2015-04-03,NA,-Inf,Inf,24
25.3,-79,2015-04-04,NA,-Inf,Inf,24
25.3,-79,2015-04-05,NA,-Inf,Inf,24
25.3,-79,2015-04-06,NA,-Inf,Inf,24
25.3,-79,2015-04-07,NA,-Inf,Inf,24
25.3,-79,2015-04-08,NA,-Inf,Inf,24
25.3,-79,2015-04-09,NA,-Inf,Inf,24
25.3,-79,2015-04-10,NA,-Inf,Inf,24
25.3,-79,2015-04-11,NA,-Inf,Inf,24
25.3,-79,2015-04-12,NA,-Inf,Inf,24
25.3,-79,2015-04-13,NA,-Inf,Inf,24
25.3,-79,2015-04-14,NA,-Inf,Inf,24
25.3,-79,2015-04-15,NA,-Inf,Inf,24
25.3,-79,2015-04-16,NA,-Inf,Inf,24
25.3,-79,2015-04-17,NA,-Inf,Inf,24
25.3,-79,2015-04-18,NA,-Inf,Inf,24
25.3,-79,2015-04-19,NA,-Inf,Inf,24
25.3,-79,2015-04-20,NA,-Inf,Inf,24
25.3,-79,2015-04-21,NA,-Inf,Inf,24
25.3,-79,2015-04-22,NA,-Inf,Inf,24
25.3,-79,2015-04-23,NA,-Inf,Inf,24
25.3,-79,2015-04-24,NA,-Inf,Inf,24
25.3,-79,2015-04-25,NA,-Inf,Inf,24
25.3,-79,2015-04-26,NA,-Inf,Inf,24
25.3,-79,2015-04-27,NA,-Inf,Inf,24
25.3,-79,2015-04-28,NA,-Inf,Inf,24
25.3,-79,2015-04-29,NA,-Inf,Inf,24
25.3,-79,2015-04-30,NA,-Inf,Inf,24
25.4,-82,2015-04-01,NA,-Inf,Inf,24
25.4,-82,2015-04-02,NA,-Inf,Inf,24
25.4,-82,2015-04-03,NA,-Inf,Inf,24
25.4,-82,2015-04-04,NA,-Inf,Inf,24
25.4,-82,2015-04-05,NA,-Inf,Inf,24
25.4,-82,2015-04-06,NA,-Inf,Inf,24
25.4,-82,2015-04-07,NA,-Inf,Inf,24
25.4,-82,2015-04-08,NA,-Inf,Inf,24
25.4,-82,2015-04-09,NA,-Inf,Inf,24
25.4,-82,2015-04-10,NA,-Inf,Inf,24
25.4,-82,2015-04-11,NA,-Inf,Inf,24
25.4,-82,2015-04-12,NA,-Inf,Inf,24
25.4,-82,2015-04-13,NA,-Inf,Inf,24
25.4,-82,2015-04-14,NA,-Inf,Inf,24
25.4,-82,2015-04-15,NA,-Inf,Inf,24
25.4,-82,2015-04-16,NA,-Inf,Inf,24
25.4,-82,2015-04-17,NA,-Inf,Inf,24
25.4,-82,2015-04-18,NA,-Inf,Inf,24
25.4,-82,2015-04-19,NA,-Inf,Inf,24
25.4,-82,2015-04-20,NA,-Inf,Inf,24
25.4,-82,2015-04-21,NA,-Inf,Inf,24
25.4,-82,2015-04-22,NA,-Inf,Inf,24
25.4,-82,2015-04-23,NA,-Inf,Inf,24
25.4,-82,2015-04-24,NA,-Inf,Inf,24
25.4,-82,2015-04-25,NA,-Inf,Inf,24
25.4,-82,2015-04-26,NA,-Inf,Inf,24
25.4,-82,2015-04-27,NA,-Inf,Inf,24
25.4,-82,2015-04-28,NA,-Inf,Inf,24
25.4,-82,2015-04-29,NA,-Inf,Inf,24
25.4,-82,2015-04-30,NA,-Inf,Inf,24
25.4,-81.9,2015-04-01,NA,-Inf,Inf,24
25.4,-81.9,2015-04-02,NA,-Inf,Inf,24
25.4,-81.9,2015-04-03,NA,-Inf,Inf,24
25.4,-81.9,2015-04-04,NA,-Inf,Inf,24
25.4,-81.9,2015-04-05,NA,-Inf,Inf,24
25.4,-81.9,2015-04-06,NA,-Inf,Inf,24
25.4,-81.9,2015-04-07,NA,-Inf,Inf,24
25.4,-81.9,2015-04-08,NA,-Inf,Inf,24
25.4,-81.9,2015-04-09,NA,-Inf,Inf,24
25.4,-81.9,2015-04-10,NA,-Inf,Inf,24
25.4,-81.9,2015-04-11,NA,-Inf,Inf,24
25.4,-81.9,2015-04-12,NA,-Inf,Inf,24
25.4,-81.9,2015-04-13,NA,-Inf,Inf,24
25.4,-81.9,2015-04-14,NA,-Inf,Inf,24
25.4,-81.9,2015-04-15,NA,-Inf,Inf,24
25.4,-81.9,2015-04-16,NA,-Inf,Inf,24
25.4,-81.9,2015-04-17,NA,-Inf,Inf,24
25.4,-81.9,2015-04-18,NA,-Inf,Inf,24
25.4,-81.9,2015-04-19,NA,-Inf,Inf,24
25.4,-81.9,2015-04-20,NA,-Inf,Inf,24
25.4,-81.9,2015-04-21,NA,-Inf,Inf,24
25.4,-81.9,2015-04-22,NA,-Inf,Inf,24
25.4,-81.9,2015-04-23,NA,-Inf,Inf,24
25.4,-81.9,2015-04-24,NA,-Inf,Inf,24
25.4,-81.9,2015-04-25,NA,-Inf,Inf,24
25.4,-81.9,2015-04-26,NA,-Inf,Inf,24
25.4,-81.9,2015-04-27,NA,-Inf,Inf,24
25.4,-81.9,2015-04-28,NA,-Inf,Inf,24
25.4,-81.9,2015-04-29,NA,-Inf,Inf,24
25.4,-81.9,2015-04-30,NA,-Inf,Inf,24
25.4,-81.8,2015-04-01,NA,-Inf,Inf,24
25.4,-81.8,2015-04-02,NA,-Inf,Inf,24
25.4,-81.8,2015-04-03,NA,-Inf,Inf,24
25.4,-81.8,2015-04-04,NA,-Inf,Inf,24
25.4,-81.8,2015-04-05,NA,-Inf,Inf,24
25.4,-81.8,2015-04-06,NA,-Inf,Inf,24
25.4,-81.8,2015-04-07,NA,-Inf,Inf,24
25.4,-81.8,2015-04-08,NA,-Inf,Inf,24
25.4,-81.8,2015-04-09,NA,-Inf,Inf,24
25.4,-81.8,2015-04-10,NA,-Inf,Inf,24
25.4,-81.8,2015-04-11,NA,-Inf,Inf,24
25.4,-81.8,2015-04-12,NA,-Inf,Inf,24
25.4,-81.8,2015-04-13,NA,-Inf,Inf,24
25.4,-81.8,2015-04-14,NA,-Inf,Inf,24
25.4,-81.8,2015-04-15,NA,-Inf,Inf,24
25.4,-81.8,2015-04-16,NA,-Inf,Inf,24
25.4,-81.8,2015-04-17,NA,-Inf,Inf,24
25.4,-81.8,2015-04-18,NA,-Inf,Inf,24
25.4,-81.8,2015-04-19,NA,-Inf,Inf,24
25.4,-81.8,2015-04-20,NA,-Inf,Inf,24
25.4,-81.8,2015-04-21,NA,-Inf,Inf,24
25.4,-81.8,2015-04-22,NA,-Inf,Inf,24
25.4,-81.8,2015-04-23,NA,-Inf,Inf,24
25.4,-81.8,2015-04-24,NA,-Inf,Inf,24
25.4,-81.8,2015-04-25,NA,-Inf,Inf,24
25.4,-81.8,2015-04-26,NA,-Inf,Inf,24
25.4,-81.8,2015-04-27,NA,-Inf,Inf,24
25.4,-81.8,2015-04-28,NA,-Inf,Inf,24
25.4,-81.8,2015-04-29,NA,-Inf,Inf,24
25.4,-81.8,2015-04-30,NA,-Inf,Inf,24
25.4,-81.7,2015-04-01,NA,-Inf,Inf,24
25.4,-81.7,2015-04-02,NA,-Inf,Inf,24
25.4,-81.7,2015-04-03,NA,-Inf,Inf,24
25.4,-81.7,2015-04-04,NA,-Inf,Inf,24
25.4,-81.7,2015-04-05,NA,-Inf,Inf,24
25.4,-81.7,2015-04-06,NA,-Inf,Inf,24
25.4,-81.7,2015-04-07,NA,-Inf,Inf,24
25.4,-81.7,2015-04-08,NA,-Inf,Inf,24
25.4,-81.7,2015-04-09,NA,-Inf,Inf,24
25.4,-81.7,2015-04-10,NA,-Inf,Inf,24
25.4,-81.7,2015-04-11,NA,-Inf,Inf,24
25.4,-81.7,2015-04-12,NA,-Inf,Inf,24
25.4,-81.7,2015-04-13,NA,-Inf,Inf,24
25.4,-81.7,2015-04-14,NA,-Inf,Inf,24
25.4,-81.7,2015-04-15,NA,-Inf,Inf,24
25.4,-81.7,2015-04-16,NA,-Inf,Inf,24
25.4,-81.7,2015-04-17,NA,-Inf,Inf,24
25.4,-81.7,2015-04-18,NA,-Inf,Inf,24
25.4,-81.7,2015-04-19,NA,-Inf,Inf,24
25.4,-81.7,2015-04-20,NA,-Inf,Inf,24
25.4,-81.7,2015-04-21,NA,-Inf,Inf,24
25.4,-81.7,2015-04-22,NA,-Inf,Inf,24
25.4,-81.7,2015-04-23,NA,-Inf,Inf,24
25.4,-81.7,2015-04-24,NA,-Inf,Inf,24
25.4,-81.7,2015-04-25,NA,-Inf,Inf,24
25.4,-81.7,2015-04-26,NA,-Inf,Inf,24
25.4,-81.7,2015-04-27,NA,-Inf,Inf,24
25.4,-81.7,2015-04-28,NA,-Inf,Inf,24
25.4,-81.7,2015-04-29,NA,-Inf,Inf,24
25.4,-81.7,2015-04-30,NA,-Inf,Inf,24
25.4,-81.6,2015-04-01,NA,-Inf,Inf,24
25.4,-81.6,2015-04-02,NA,-Inf,Inf,24
25.4,-81.6,2015-04-03,NA,-Inf,Inf,24
25.4,-81.6,2015-04-04,NA,-Inf,Inf,24
25.4,-81.6,2015-04-05,NA,-Inf,Inf,24
25.4,-81.6,2015-04-06,NA,-Inf,Inf,24
25.4,-81.6,2015-04-07,NA,-Inf,Inf,24
25.4,-81.6,2015-04-08,NA,-Inf,Inf,24
25.4,-81.6,2015-04-09,NA,-Inf,Inf,24
25.4,-81.6,2015-04-10,NA,-Inf,Inf,24
25.4,-81.6,2015-04-11,NA,-Inf,Inf,24
25.4,-81.6,2015-04-12,NA,-Inf,Inf,24
25.4,-81.6,2015-04-13,NA,-Inf,Inf,24
25.4,-81.6,2015-04-14,NA,-Inf,Inf,24
25.4,-81.6,2015-04-15,NA,-Inf,Inf,24
25.4,-81.6,2015-04-16,NA,-Inf,Inf,24
25.4,-81.6,2015-04-17,NA,-Inf,Inf,24
25.4,-81.6,2015-04-18,NA,-Inf,Inf,24
25.4,-81.6,2015-04-19,NA,-Inf,Inf,24
25.4,-81.6,2015-04-20,NA,-Inf,Inf,24
25.4,-81.6,2015-04-21,NA,-Inf,Inf,24
25.4,-81.6,2015-04-22,NA,-Inf,Inf,24
25.4,-81.6,2015-04-23,NA,-Inf,Inf,24
25.4,-81.6,2015-04-24,NA,-Inf,Inf,24
25.4,-81.6,2015-04-25,NA,-Inf,Inf,24
25.4,-81.6,2015-04-26,NA,-Inf,Inf,24
25.4,-81.6,2015-04-27,NA,-Inf,Inf,24
25.4,-81.6,2015-04-28,NA,-Inf,Inf,24
25.4,-81.6,2015-04-29,NA,-Inf,Inf,24
25.4,-81.6,2015-04-30,NA,-Inf,Inf,24
25.4,-81.5,2015-04-01,NA,-Inf,Inf,24
25.4,-81.5,2015-04-02,NA,-Inf,Inf,24
25.4,-81.5,2015-04-03,NA,-Inf,Inf,24
25.4,-81.5,2015-04-04,NA,-Inf,Inf,24
25.4,-81.5,2015-04-05,NA,-Inf,Inf,24
25.4,-81.5,2015-04-06,NA,-Inf,Inf,24
25.4,-81.5,2015-04-07,NA,-Inf,Inf,24
25.4,-81.5,2015-04-08,NA,-Inf,Inf,24
25.4,-81.5,2015-04-09,NA,-Inf,Inf,24
25.4,-81.5,2015-04-10,NA,-Inf,Inf,24
25.4,-81.5,2015-04-11,NA,-Inf,Inf,24
25.4,-81.5,2015-04-12,NA,-Inf,Inf,24
25.4,-81.5,2015-04-13,NA,-Inf,Inf,24
25.4,-81.5,2015-04-14,NA,-Inf,Inf,24
25.4,-81.5,2015-04-15,NA,-Inf,Inf,24
25.4,-81.5,2015-04-16,NA,-Inf,Inf,24
25.4,-81.5,2015-04-17,NA,-Inf,Inf,24
25.4,-81.5,2015-04-18,NA,-Inf,Inf,24
25.4,-81.5,2015-04-19,NA,-Inf,Inf,24
25.4,-81.5,2015-04-20,NA,-Inf,Inf,24
25.4,-81.5,2015-04-21,NA,-Inf,Inf,24
25.4,-81.5,2015-04-22,NA,-Inf,Inf,24
25.4,-81.5,2015-04-23,NA,-Inf,Inf,24
25.4,-81.5,2015-04-24,NA,-Inf,Inf,24
25.4,-81.5,2015-04-25,NA,-Inf,Inf,24
25.4,-81.5,2015-04-26,NA,-Inf,Inf,24
25.4,-81.5,2015-04-27,NA,-Inf,Inf,24
25.4,-81.5,2015-04-28,NA,-Inf,Inf,24
25.4,-81.5,2015-04-29,NA,-Inf,Inf,24
25.4,-81.5,2015-04-30,NA,-Inf,Inf,24
25.4,-81.4,2015-04-01,NA,-Inf,Inf,24
25.4,-81.4,2015-04-02,NA,-Inf,Inf,24
25.4,-81.4,2015-04-03,NA,-Inf,Inf,24
25.4,-81.4,2015-04-04,NA,-Inf,Inf,24
25.4,-81.4,2015-04-05,NA,-Inf,Inf,24
25.4,-81.4,2015-04-06,NA,-Inf,Inf,24
25.4,-81.4,2015-04-07,NA,-Inf,Inf,24
25.4,-81.4,2015-04-08,NA,-Inf,Inf,24
25.4,-81.4,2015-04-09,NA,-Inf,Inf,24
25.4,-81.4,2015-04-10,NA,-Inf,Inf,24
25.4,-81.4,2015-04-11,NA,-Inf,Inf,24
25.4,-81.4,2015-04-12,NA,-Inf,Inf,24
25.4,-81.4,2015-04-13,NA,-Inf,Inf,24
25.4,-81.4,2015-04-14,NA,-Inf,Inf,24
25.4,-81.4,2015-04-15,NA,-Inf,Inf,24
25.4,-81.4,2015-04-16,NA,-Inf,Inf,24
25.4,-81.4,2015-04-17,NA,-Inf,Inf,24
25.4,-81.4,2015-04-18,NA,-Inf,Inf,24
25.4,-81.4,2015-04-19,NA,-Inf,Inf,24
25.4,-81.4,2015-04-20,NA,-Inf,Inf,24
25.4,-81.4,2015-04-21,NA,-Inf,Inf,24
25.4,-81.4,2015-04-22,NA,-Inf,Inf,24
25.4,-81.4,2015-04-23,NA,-Inf,Inf,24
25.4,-81.4,2015-04-24,NA,-Inf,Inf,24
25.4,-81.4,2015-04-25,NA,-Inf,Inf,24
25.4,-81.4,2015-04-26,NA,-Inf,Inf,24
25.4,-81.4,2015-04-27,NA,-Inf,Inf,24
25.4,-81.4,2015-04-28,NA,-Inf,Inf,24
25.4,-81.4,2015-04-29,NA,-Inf,Inf,24
25.4,-81.4,2015-04-30,NA,-Inf,Inf,24
